SPXT,EAFE,LTR,REIT,GSCI
1919.8406,3128.722,713.588,2384.25,2970.29
1883.4989,3212.947,724.421,2355.84,3155.86
2067.7595,3337.493,748.508,2433.3,3119.23
2005.5492,3161.863,743.497,2596.8,3090.82
1964.4014,3084.639,747.737,2622.34,3436.91
2012.8297,3205.274,765.008,2689.61,3681.85
1981.3612,3070.894,772.477,2924.69,3399.09
2104.4324,3097.549,786.573,2805.99,3922.85
1993.3323,2946.724,791.815,2895.27,3869.14
1984.9047,2877.117,800.243,2769.93,3877.86
1828.4163,2769.224,821.903,2805.5,4235.22
1837.3647,2867.652,840.85,3002.97,4147.9
1902.5526,2866.173,848.304,3034.31,3927.75
1729.0747,2651.303,860.663,2985.85,3872.93
1619.5375,2474.565,866.651,3014.83,3721.13
1745.3923,2646.527,850.564,3086.75,3920.97
1757.0859,2553.121,853.306,3161.48,3809.28
1714.3208,2448.71,857.76,3346.78,3533.71
1697.4447,2404.156,886.356,3280.3,3542.17
1591.1819,2343.231,898.062,3400.25,3576.03
1462.6903,2105.892,919.498,3259.05,3184.24
1490.582,2159.829,944.673,3165.8,3023.67
1604.9191,2239.446,918.88,3340.02,2861.28
1618.9789,2252.751,904.735,3421.37,2823.35
1595.3525,2133.052,912.393,3428.08,2735.26
1564.5862,2148.014,925.525,3494.18,2854.74
1623.4288,2264.205,896.436,3703.79,3239.61
1525.0038,2279.21,925.069,3735.37,3275.47
1513.7686,2308.089,936.471,3785.94,3132.95
1405.9435,2216.214,955.134,3889.42,3240.01
1296.344,1997.429,986.689,3685.98,3258.75
1304.8552,1992.895,1010.878,3678.77,3455.83
1163.0444,1778.871,1049.73,3537.59,3613.65
1265.4108,1874.477,1040.556,3367.35,3443.14
1339.8916,1959.551,1021.197,3525.92,3435.66
1261.1763,1893.662,1058.528,3552.1,3728.76
1228.1378,1814.606,1049.298,3448.83,4064.02
1209.7111,1772.961,1076.259,3505.89,4556.68
1221.4564,1738.126,1072.749,3576.08,3900.01
1322.0677,1908.483,1076.207,3733.31,3660.66
1391.7245,2024.123,1113.984,3958.77,4011.64
1409.4778,2073.038,1105.751,4044.88,4020.44
1434.3292,2123.219,1042.637,4261.36,4049.07
1462.3015,2174.493,1052.329,4284.18,4214.54
1446.7726,2241.525,1100.34,4429.85,4042.42
1528.6165,2381.237,1078.954,4509.88,4130.98
1542.0658,2434.177,1079.619,4706.49,4236.69
1622.9386,2624.346,1093.992,4871.12,4501.27
1652.7279,2661.456,1106.315,5081.85,4518.91
1675.7,2722.894,1126.085,5170.71,4854.23
1650.4196,2738.215,1142.275,5456.47,4951.78
1624.5112,2676.274,1094.69,4660.84,5088.35
1646.8037,2685.273,1089.056,4993.06,5323.78
1678.8256,2744.108,1099.645,5139.48,5073.56
1623.2621,2655.052,1114.791,5156.41,5466.9
1629.828,2666.777,1144.42,5565.66,5254.62
1647.4803,2736.475,1149.127,5562.34,5917.43
1672.6486,2829.788,1160.317,5860.44,6162.91
1740.3267,3023.1,1139.761,6112.63,5864.79
1799.5477,3155.701,1154.127,6409.3,5278.98
1755.6842,3097.803,1159.752,5871.11,5635.92
1792.6307,3231.657,1146.821,6051.17,5986.82
1760.8868,3150.471,1143.023,5957.39,6439.38
